Line,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
3801,4510,523,434,443,402,RD,RD,38:55:00
3802,RD,RD,201,157,215,113,Standby - SPM, 38:35
3803,4003,44,RD,42,53,64,RD, 39:30
3804,RD,Standby - SPL,555,430,RD,428,2527, 38:49
3805,4131,203,227,118,151,RD,RD, 38:07
3806,RD,RD,52,68,3,67,2010, 38:31
3807,RD,526,Standby - SPL,RD,409,421,2511, 38:50
3808,4129,156,RD,RD,207,Standby - SPS,2138, 39:49
3809,4006,39,RD,62,19,45,RD,38:42:00
3810,RD,Standby - SPL,511,405,RD,Standby - SPL,2523, 38:09
3811,4142,155,RD,201,156,Standby - SPS,RD, 39:20
3812,RD,67,3,51,RD,47,2043,39:28:00
Line,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
3813,4519,414,438,501,513,RD,RD, 38:14
3814,RD,RD,210,152,157,Standby - SPS,2143, 38:16
3815,RD,46,38,RD,15,57,2026, 39:21
3816,RD,Standby - SPL,435,442,RD,Standby - SPL,2410,38:36:00
3817,4130,217,117,205,Standby - SPM,RD,RD, 39:21
3818,RD,RD,56,Standby - SPE,62,26,2039,39:55:00
3819,4406,Standby - SPZ,RD,RD,514,410,2530,37:51:00
3820,RD,218,203,154,RD,156,2161, 39:25
3821,4027,57,2,55,54,RD,RD,39:42:00
3822,RD,RD,419,521,Standby - SPL,441,2402, 38:16
3823,RD,113,RD,224,Standby - SPM,Standby - SPS,2104,39:05:00
3825,4515,403,Standby - SPL,529,437,RD,RD,38:38:00
Line,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
3826,RD,RD,Standby - SPM,217,Standby - SPM,Standby - SPS,2152,39:15:00
3827,4024,16,RD,48,68,28,RD,39:37:00
3828,RD,401,524,520,RD,Standby - SPL,2403,36:38:00
3829,4132,205,228,156,Standby - SPM,RD,RD, 39:53
3830,RD,RD,"036
","067
","057
","043
","2001
", 39:04
3831,RD,525,Standby - SPZ,RD,553,Standby - SPL,2405,36:47:00
3832,4119,118,RD,RD,201,Standby - SPS,2157,38:39:00
3833,4026,2,RD,66,50,42,RD, 39:24
3834,RD,Standby - SPL,Standby - SPL,412,RD,Standby - SPL,2435, 38:30
3835,4133,154,RD,227,210,Standby - SPM,RD, 39:23
3837,4523,Standby - SPZ,Standby - SPL,515,418,RD,RD, 38:35
3838,RD,RD,215,215,Standby - SPM,Standby - SPS,2159, 39:15
Line,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
3839,RD,65,40,RD,26,2,2042,38:44:00
3840,RD,Standby - SPL,Standby - SPL,522,RD,440,2408,38:20:00
3841,4121,220,152,155,Standby - SPM,RD,RD,38:05:00
3842,RD,RD,67,57,29,6,2036,39:07:00
3843,4530,Standby - SPZ,RD,RD,Standby - SPL,437,Standby - SPL,39:27:00
3844,RD,202,156,Standby - SPM,RD,Standby - SPS,2144,38:40:00
3845,4025,66,41,3,44,RD,RD, 39:22
3846,RD,RD,Standby - SPL,Standby - SPZ,Standby - SPL,406,2522,38:09:00
3847,RD,110,RD,Standby - SPM,205,227,2153, 39:27
3849,4529,Standby - SPZ,506,523,403,RD,RD, 38:22
3850,RD,RD,218,107,Standby - SPM,Standby - SPS,2145,39:12:00
3851,4022,5,RD,7,55,58,RD,38:24:00
Line,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
3852,RD,Standby - SPL,Standby - SPL,503,RD,439,2409,37:22:00
3853,4122,225,205,113,Standby - SPM,RD,RD,38:59:00
3854,RD,RD,57,32,67,68,2006,39:32:00
3855,RD,524,Standby - SPZ,RD,517,515,2421, 38:44
3856,4143,112,RD,RD,219,221,2103,: 40:00
3857,"4023
","Standby - SPE
",RD,39,66,34,RD, 39:49
3858,RD,Standby - SPL,Standby - SPL,Standby - SPL,RD,436,2414,37:49:00
3859,Standby - SPM,117,RD,212,Standby - SPM,220,RD,39:14:00
3861,4526,Standby - SPZ,Standby - SPZ,Standby - SPL,430,RD,RD,38:55:00
3862,RD,RD,226,153,222,213,2158,39:05:00
3863,RD,41,51,RD,63,66,2002,39:29:00
3864,RD,521,"Standby - SPL
","Standby - SPZ
",RD,Standby - SPL,2433,39:12:00
Line,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
3865,4135,201,225,208,Standby - SPM,RD,RD, 38:15
3866,RD,RD,"043
","036
","061
","061
","2008
", 39:19
3867,4502,Standby - SPZ,RD,RD,436,Standby - SPL,2528,38:14:00
3868,RD,229,216,Standby - SPM,RD,205,2149,39:29:00
3869,4021,63,46,5,32,RD,RD,39:03:00
3870,RD,RD,522,Standby - SPL,429,422,2503,39:10:00
3871,RD,153,RD,226,Standby - SPS,223,2102,37:17:00
3873,4521,519,Standby - SPL,Standby - SPZ,424,RD,RD, 38:51
3874,RD,RD,Standby - SPM,110,203,224,2154,39:01:00
3875,4019,61,RD,15,25,51,RD,39:08:00
3876,RD,Standby - SPZ,Standby - SPL,Standby - SPL,RD,Standby - SPL,2422,37:37:00
3877,4140,209,220,220,Standby - SPM,RD,RD, 39:39
Line,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
3878,RD,RD,62,34,33,29,2040,39:37:00
3879,RD,Standby - SPL,Standby - SPZ,RD,Standby - SPL,Standby - SPL,2427,38:04:00
3880,4136,152,RD,RD,209,225,2155,38:57:00
3881,4017,60,RD,64,5,41,RD,39:21:00
3882,RD,Standby - SPL,Standby - SPL,401,RD,533,2430,37:04:00
3883,4106,159,RD,222,213,226,RD, 39:22
3884,RD,Standby - SPE,6,49,RD,49,2047,38:57:00
3885,4507,515,Standby - SPZ,Standby - SPL,Standby - SPZ,RD,RD,37:19:00
3886,RD,RD,157,225,212,201,2142, 39:20
3887,RD,49,14,RD,65,50,Standby - SPE,39:28:00
3888,RD,Standby - SPL,"Standby - SPZ
",Standby - SPL,RD,529,2431,39:16:00
3889,4138,115,209,206,Standby - SPM,RD,RD,38:46:00
3890,RD,RD,49,53,28,33,2046, 39:52
Line,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
3891,Standby - SPL,443,RD,RD,Standby - SPL,401,2531,38:24:00
3892,RD,219,212,117,RD,Standby - SPM,Standby - SPM,39:13:00
3893,4016,Standby - SPE,50,54,43,RD,RD,39:46:00
3894,RD,RD,Standby - SPZ,Standby - SPL,Standby - SPZ,427,2529,39:09:00
3895,RD,Standby - SPM,RD,221,216,209,Standby - SPM,38:36:00
3896,RD,50,Standby - SPE,58,RD,52,Standby - SPE,39:57:00
3897,Standby - SPL,518,Standby - SPZ,Standby - SPL,Standby - SPZ,RD,RD,38:19:00
3898,RD,RD,103,219,223,Standby - SPM,Standby - SPM,38:50:00
3899,4015,52,RD,6,42,54,RD,39:02:00
3900,RD,Standby - SPL,520,Standby - SPZ,RD,433,Standby - SPL,39:02:00
3901,4137,207,219,115,Standby - SPM,RD,RD, 39:34
3902,RD,RD,Standby - SPE,56,39,55,Standby - SPE,39:45:00
3903,RD,Standby - SPL,Standby - SPZ,RD,Standby - SPL,432,Standby - SPZ,38:37:00
Line,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
3904,Standby - SPM,Standby - SPM,RD,RD,228,Standby - SPS,Standby - SPM,38:50:00
3905,4014,53,RD,13,52,Standby - SPE,RD,38:40:00
3906,RD,Standby - SPL,Standby - SPZ,Standby - SPZ,RD,527,Standby - SPZ,38:52:00
3907,4102,116,RD,209,227,Standby - SPM,RD, 38:21
3908,RD,54,Standby - SPE,33,RD,Standby - SPE,2050, 39:43
3909,Standby - SPL,442,Standby - SPL,Standby - SPZ,Standby - SPL,RD,RD, 38:51
3910,RD,RD,113,228,226,152,Standby - SPM, 38:57
3911,RD,55,54,RD,30,59,2005, 39:06
3912,RD,Standby - SPL,Standby - SPZ,Standby - SPZ,RD,523,Standby - SPL,38:45:00
3913,4101,223,223,Standby - SPM,Standby - SPM,RD,RD,38:11:00
3914,RD,RD,45,Standby - SPE,7,Standby - SPE,Standby - SPE,37:47:00
3915,Standby - SPL,424,RD,RD,Standby - SPL,431,Standby - SPL, 38:51
3916,RD,"221
","213
",Standby - SPM,RD,117,Standby - SPM,39:15:00
Line,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
3917,4011,56,Standby - SPE,60,41,RD,RD,39:47:00
3918,RD,RD,553,Standby - SPZ,Standby - SPZ,430,2525,38:13:00
3919,RD,Standby - SPM,RD,Standby - SPM,225,208,Standby - SPM, 38:32
3920,RD,Standby - SPE,Standby - SPE,37,RD,60,2041,39:25:00
3921,Standby - SPL,Standby - SPZ,401,Standby - SPL,Standby - SPL,RD,RD,36:42:00
3922,RD,RD,217,203,224,155,Standby - SPM, 39:05
3923,4007,58,RD,61,40,Standby - SPE,RD,39:12:00
